# UTF-8 Byte Order Marker; see http://unicode.org/faq/utf_bom.html
# BANNER FILE NOT PROVIDED (-b option)# BULK_EXTRACTOR-Version: 1.3.1 ($Rev: 10844 $)
# Feature-Recorder: lightgrep
# Filename: /home/jon/data/ev/digitalcorpora/corp/nps/drives/corp/nps/drives/nps-2009-m57-patents-redacted/pat-2009-11-12.E01
# Histogram-File-Version: 1.1
n=68548	loa	(utf16=9873)
n=8	appomattox
n=8	ayrshire
n=8	barker
n=8	benoit
n=8	blain
n=8	boley
n=8	boling
n=8	bouton	(utf16=8)
n=8	brothers	(utf16=7)
n=8	camden
n=8	cincinnatus
n=8	danese	(utf16=7)
n=8	dorr	(utf16=1)
n=8	drums
n=8	ebro
n=8	ennis	(utf16=4)
n=8	farragut
n=8	folsom
n=8	garnett
n=8	glendo
n=8	goldbar	(utf16=8)
n=8	grenville
n=8	guage	(utf16=8)
n=8	gulliver
n=8	hasse
n=8	herculaneum
n=8	holley
n=8	huguenot
n=8	husser
n=8	jeannette
n=8	jena	(utf16=2)
n=8	kerens
n=8	kila	(utf16=1)
n=8	klondike
n=8	kohler
n=8	koppel	(utf16=5)
n=8	krum
n=8	langston
n=8	lehr
n=8	loris
n=8	lucan
n=8	lula	(utf16=2)
n=8	manson
n=8	marissa
n=8	metz
n=8	milford
n=8	molina
n=8	muenster
n=8	odell
n=8	oglala
n=8	okean	(utf16=8)
n=8	ophelia
n=8	oregonia
n=8	paola
n=8	parnell
n=8	pawnee
n=8	ponca
n=8	ramona
n=8	ramsay
n=8	robson
n=8	rolfe
n=8	rolla
n=8	roseau
n=8	roswell
n=8	royston
n=8	rugby
n=8	ryde
n=8	salado
n=8	salome
n=8	samantha
n=8	sealy
n=8	sennett
n=8	shelly
n=8	shreve
n=8	soddy
n=8	solano
n=8	sultana	(utf16=5)
n=8	swansea
n=8	teasdale
n=8	thacker
n=8	trappe
n=8	trevor
n=8	underwood
n=8	uriah
n=8	verden	(utf16=8)
n=8	vian	(utf16=8)
n=8	wanda
n=8	waterford
n=8	weimar
n=8	wimbledon
n=8	wollaston
n=8	woodhull
n=8	xenia
n=7	alamogordo
n=7	amalia
n=7	ashford
n=7	baroda
n=7	barron
n=7	beaconsfield
n=7	bethany
n=7	beulah
n=7	biddle
n=7	blanca
n=7	bolingbroke
n=7	cahokia
n=7	callao
n=7	caretta
n=7	castile
n=7	chelmsford
n=7	chelsea
n=7	clarissa
n=7	colp
n=7	corfu
n=7	cowley
n=7	cullen
n=7	denison
n=7	doty	(utf16=5)
n=7	dundee
n=7	earp	(utf16=1)
n=7	erhard
n=7	fingal
n=7	georgiana
n=7	gilmer
n=7	glastonbury
n=7	gotebo
n=7	groves
n=7	heber	(utf16=3)
n=7	hialeah
n=7	hico
n=7	howells
n=7	husk	(utf16=3)
n=7	ipswich
n=7	jodie
n=7	kilauea
n=7	kossuth
n=7	kula	(utf16=3)
n=7	lamont
n=7	leet	(utf16=1)
n=7	linton
n=7	llewellyn
n=7	maher
n=7	malibu
n=7	marston
n=7	maximo
n=7	means	(utf16=2)
n=7	merrick
n=7	mertens
n=7	mize	(utf16=2)
n=7	moroni
n=7	moseley
n=7	mullin
n=7	mullins
n=7	murchison
n=7	mylo
n=7	nankin
n=7	nathalie
n=7	navarre
n=7	oglethorpe
n=7	ollie
n=7	osceola
n=7	peyton
n=7	plessis
n=7	pocahontas
n=7	providence
n=7	rainier	(utf16=1)
n=7	rion
n=7	rochdale
n=7	ronda
n=7	rosie
n=7	sitka
n=7	socorro
n=7	staples
n=7	tamworth
n=7	tappan
n=7	tippecanoe
n=7	tolu
n=7	truckee
n=7	tully
n=7	tyrone
n=7	vader
n=7	vallejo
n=7	velma
n=7	verner
n=7	whitefield
n=7	wilberforce
n=7	willcox
n=7	woodstock
n=7	wynne
n=7	zachow	(utf16=7)
n=6	ailey
n=6	aneth
n=6	athol
n=6	ault
n=6	ayer
n=6	backus
n=6	badger	(utf16=1)
n=6	basco	(utf16=6)
n=6	biloxi
n=6	blevins
n=6	bloomsbury
n=6	bonner
n=6	boring
n=6	brenton	(utf16=2)
n=6	brinkley
n=6	brownsville
n=6	cadiz
n=6	cassel
n=6	charlton
n=6	clermont
n=6	connelly
n=6	corinne
n=6	creighton
n=6	derry
n=6	doole
n=6	doon
n=6	elma
n=6	elroy
n=6	forman	(utf16=6)
n=6	frisco
n=6	geronimo
n=6	glynn
n=6	grafton
n=6	gretna
n=6	halls
n=6	harco
n=6	heth	(utf16=3)
n=6	hobson
n=6	imogene
n=6	iola
n=6	jachin
n=6	jamison
n=6	juliette
n=6	kenna
n=6	laton
n=6	lawton
n=6	lemmon
n=6	letha
n=6	lewes
n=6	lolita
n=6	lorain
n=6	lorena
n=6	mahan
n=6	mcfarlan
n=6	moffit
n=6	mosca	(utf16=3)
n=6	nelse
n=6	osco
n=6	pitcher
n=6	quinton
n=6	refugio
n=6	roselle
n=6	roslyn
n=6	roxie
n=6	rufe	(utf16=5)
n=6	salinas
n=6	samaria
n=6	sardis	(utf16=2)
n=6	scribner
n=6	sigurd
n=6	sisters
n=6	solomons	(utf16=4)
n=6	spotsylvania
n=6	starbuck
n=6	tallula
n=6	tallulah
n=6	tanner
n=6	terrell
n=6	tillman
n=6	udall
n=6	valera
n=6	wagram
n=6	wesson
n=6	wheeling
n=6	whitfield
n=6	wilmer
n=6	witten
n=6	wolverine
n=6	zachariah
n=5	alix
n=5	anco
n=5	argos
n=5	bains
n=5	bannock
n=5	barberton
n=5	blacksburg
n=5	bonita
n=5	bowdle
n=5	bowers
n=5	brentwood
n=5	bridgman
n=5	brule
n=5	buckner
n=5	canandaigua
n=5	chauvin
n=5	chickamauga
n=5	cimarron
n=5	clarks
n=5	cochise
n=5	combs
n=5	concepcion
n=5	cooks	(utf16=2)
n=5	cooperstown
n=5	coosa
n=5	corning
n=5	cotopaxi
n=5	crewe
n=5	crouse
n=5	cuthbert
n=5	dows	(utf16=2)
n=5	dubuque
n=5	emelle	(utf16=5)
n=5	eminence
n=5	etta
n=5	ewan
n=5	farrar
n=5	forks	(utf16=1)
n=5	gamaliel
n=5	gilman
n=5	golconda
n=5	gosport
n=5	guys
n=5	handley
n=5	havre
n=5	hawks
n=5	haworth
n=5	hermitage
n=5	hilliard
n=5	hillsboro
n=5	hopewell
n=5	housatonic
n=5	howland	(utf16=5)
n=5	ilion
n=5	inez
n=5	inglewood
n=5	inglis	(utf16=1)
n=5	ironsides
n=5	jarrell
n=5	kanawha
n=5	katy
n=5	kearney
n=5	kenilworth
n=5	kenner
n=5	keokuk
n=5	killarney
n=5	kingman	(utf16=5)
n=5	largo
n=5	laurens
n=5	limon
n=5	lucile
n=5	macy
n=5	manassa
n=5	manter	(utf16=5)
n=5	marcella
n=5	maribel
n=5	maricopa
n=5	martindale
n=5	maury
n=5	meadows
n=5	menan
n=5	michie
n=5	mindoro
n=5	murdock
n=5	muskego
n=5	nanticoke
n=5	narrows
n=5	neosho
n=5	niobrara
n=5	olla	(utf16=3)
n=5	palisades
n=5	paloma
n=5	parkman
n=5	parma	(utf16=2)
n=5	peoples
n=5	poth
n=5	potsdam
n=5	quapaw
n=5	quinlan
n=5	radcliff
n=5	ravena
n=5	richland
n=5	roark
n=5	rockville
n=5	rosine
n=5	rozel
n=5	sligo
n=5	stanfield
n=5	stroh
n=5	sunderland
n=5	talbert
n=5	tallapoosa
n=5	thurston
n=5	truro
n=5	villard
n=5	walhalla
n=5	wausa
n=5	wausau
n=5	waverley
n=5	welty
n=5	wheatley
n=5	wilmette
n=4	agana
n=4	aguila
n=4	aguilar
n=4	albin
n=4	alleghany
n=4	alvarado
n=4	amado
n=4	americus
n=4	argyle
n=4	arion
n=4	armagh
n=4	artemus
n=4	artois
n=4	aurelia
n=4	bartley
n=4	bayamon
