# UTF-8 Byte Order Marker; see http://unicode.org/faq/utf_bom.html
# BANNER FILE NOT PROVIDED (-b option)# BULK_EXTRACTOR-Version: 1.3.1 ($Rev: 10844 $)
# Feature-Recorder: lightgrep
# Filename: /home/jon/data/ev/digitalcorpora/corp/nps/drives/corp/nps/drives/nps-2009-m57-patents-redacted/jo-2009-11-12.E01
# Histogram-File-Version: 1.1
n=69843	loa	(utf16=9129)
n=35	buhl	(utf16=31)
n=35	dalmatia	(utf16=7)
n=35	granada	(utf16=13)
n=34	bagdad	(utf16=28)
n=34	carmel
n=34	gile	(utf16=5)
n=34	harman	(utf16=7)
n=34	leakey
n=34	odon
n=34	olds	(utf16=3)
n=34	warner	(utf16=2)
n=33	arapaho	(utf16=8)
n=33	manti	(utf16=7)
n=33	marcell
n=33	prue	(utf16=13)
n=33	steff
n=32	diablo	(utf16=32)
n=32	thatcher
n=32	totz
n=32	venetia
n=32	waka	(utf16=10)
n=31	barco	(utf16=5)
n=31	farmer	(utf16=8)
n=31	geff
n=31	springs	(utf16=1)
n=31	torrey
n=30	annona
n=30	aragon	(utf16=12)
n=30	lolo	(utf16=8)
n=30	nabb
n=30	tokio	(utf16=20)
n=30	tolar	(utf16=29)
n=30	wister
n=30	yuma
n=29	castanea
n=29	corsica	(utf16=4)
n=29	edinburg	(utf16=16)
n=29	fremont
n=29	plains
n=29	vesuvius	(utf16=13)
n=29	welches	(utf16=29)
n=28	guadalupe	(utf16=13)
n=28	kuna	(utf16=26)
n=28	runa	(utf16=15)
n=28	rupert
n=28	sinton	(utf16=24)
n=28	wilder
n=27	hume	(utf16=1)
n=27	ledger	(utf16=9)
n=27	loco	(utf16=14)
n=27	lodi	(utf16=23)
n=27	sardinia	(utf16=4)
n=26	bronte
n=26	castell	(utf16=19)
n=26	chilo
n=26	everest	(utf16=2)
n=26	hode	(utf16=2)
n=26	lucien
n=26	maud	(utf16=1)
n=26	mojave
n=26	moneta	(utf16=12)
n=26	osage	(utf16=8)
n=26	pima
n=26	singer	(utf16=6)
n=26	tripp	(utf16=8)
n=26	tyro
n=26	winston
n=25	carmi
n=25	cato
n=25	kiel	(utf16=14)
n=25	levan
n=25	lytton
n=25	maize	(utf16=18)
n=25	onemo	(utf16=22)
n=25	rives	(utf16=25)
n=25	silva	(utf16=3)
n=24	adena	(utf16=2)
n=24	bennet
n=24	edmond	(utf16=1)
n=24	elbe
n=24	flippin	(utf16=15)
n=24	leary
n=24	levant
n=24	lyndon
n=24	meade
n=24	pitts
n=24	provo	(utf16=7)
n=24	rion
n=24	salford
n=24	vici
n=24	zephyr	(utf16=3)
n=23	adin
n=23	agar	(utf16=3)
n=23	deale	(utf16=17)
n=23	dover	(utf16=7)
n=23	fairbank
n=23	fairbanks
n=23	nada	(utf16=18)
n=23	nimitz
n=23	stamps	(utf16=6)
n=23	tiro	(utf16=4)
n=22	atco
n=22	babb
n=22	brooks
n=22	gautier
n=22	hamel
n=22	hooker
n=22	leicester
n=22	loma
n=22	nyssa
n=22	omar	(utf16=1)
n=22	orla
n=22	orlean
n=22	plano	(utf16=7)
n=22	rochelle
n=22	yosemite	(utf16=8)
n=21	amery	(utf16=18)
n=21	antigo	(utf16=3)
n=21	avalon	(utf16=10)
n=21	burnet
n=21	cortez
n=21	diaz
n=21	hettinger
n=21	hilo	(utf16=2)
n=21	mansfield
n=21	melba
n=21	napier
n=21	nunn
n=21	orland
n=21	rayle
n=21	reva	(utf16=4)
n=21	reyno
n=21	sylva
n=21	tesla	(utf16=8)
n=21	weaver	(utf16=16)
n=20	bayard
n=20	bude	(utf16=12)
n=20	herod
n=20	inkom	(utf16=17)
n=20	irmo	(utf16=9)
n=20	kona	(utf16=14)
n=20	merton
n=20	nemo	(utf16=10)
n=20	nikep	(utf16=7)
n=20	sula	(utf16=1)
n=20	tatum
n=20	ucon
n=20	volga
n=20	wickliffe
n=19	belk	(utf16=5)
n=19	berger
n=19	bourg
n=19	dupo	(utf16=4)
n=19	firth
n=19	fries	(utf16=6)
n=19	lorentz
n=19	lott
n=19	marlow
n=19	minoa
n=19	paisley
n=19	paradis	(utf16=1)
n=19	pella
n=19	pittsburg
n=19	potter
n=19	tangier
n=19	tivoli	(utf16=16)
n=18	aladdin	(utf16=1)
n=18	amite
n=18	connell
n=18	eland
n=18	hendrix
n=18	isom
n=18	lillie
n=18	obert	(utf16=14)
n=18	petros
n=18	rover	(utf16=2)
n=18	sparks	(utf16=8)
n=18	talbot
n=18	tobias
n=18	wheeler
n=17	aleppo
n=17	banco	(utf16=1)
n=17	birds	(utf16=7)
n=17	bogart
n=17	cordova	(utf16=2)
n=17	derma
n=17	etna	(utf16=1)
n=17	fielding
n=17	gorin
n=17	libby	(utf16=4)
n=17	lorenzo
n=17	lyme
n=17	milo
n=17	nebo	(utf16=3)
n=17	neville
n=17	progreso	(utf16=8)
n=17	rudd	(utf16=3)
n=17	sidon
n=17	thorp
n=17	valencia	(utf16=6)
n=17	veblen
n=16	ararat
n=16	balko	(utf16=16)
n=16	barnum
n=16	bula	(utf16=3)
n=16	crichton
n=16	ellington
n=16	erick
n=16	fillmore
n=16	gallina
n=16	hammett
n=16	hana
n=16	haywood
n=16	ionia
n=16	kosciusko
n=16	laguna	(utf16=4)
n=16	lakota
n=16	mcrae	(utf16=15)
n=16	merrimac
n=16	orford
n=16	paige
n=16	philadelphia
n=16	quincy
n=16	redford
n=16	risco	(utf16=16)
n=16	stowe
n=16	vernon
n=15	bowler	(utf16=14)
n=15	camas
n=15	cleves	(utf16=14)
n=15	croton
n=15	dingus
n=15	falkner
n=15	fonda
n=15	highlands
n=15	iraan	(utf16=15)
n=15	joplin
n=15	livonia
n=15	mays	(utf16=2)
n=15	monon
n=15	oceano	(utf16=9)
n=15	olean
n=15	orma	(utf16=3)
n=15	otho
n=15	sellers
n=15	sparr	(utf16=1)
n=15	trimble	(utf16=3)
n=15	varna	(utf16=7)
n=15	wendel
n=15	winnebago
n=15	zell	(utf16=1)
n=14	alda
n=14	balta	(utf16=14)
n=14	bannister
n=14	beecher
n=14	chardon
n=14	comstock
n=14	daniels	(utf16=1)
n=14	dardanelle
n=14	dresden
n=14	emmet
n=14	gunter
n=14	iliamna
n=14	likely	(utf16=5)
n=14	lovell
n=14	merced	(utf16=1)
n=14	olpe
n=14	racine
n=14	reseda
n=14	romney
n=14	smilax
n=14	susquehanna
n=14	trafalgar
n=14	troup
n=14	wilber
n=13	albee
n=13	aline	(utf16=3)
n=13	andalusia
n=13	apalachicola
n=13	ariel
n=13	beaufort
n=13	bunker
n=13	bunn	(utf16=9)
n=13	clovis
n=13	darrow
n=13	defoe
n=13	dowell
n=13	erving
n=13	eure
n=13	frazer
n=13	gipsy
n=13	glover	(utf16=8)
n=13	harper
n=13	hernando
n=13	iona	(utf16=6)
n=13	lexa	(utf16=2)
n=13	metter
n=13	moselle
n=13	nunez
n=13	okeechobee
n=13	platina	(utf16=13)
n=13	powhatan
n=13	prole
n=13	reliance	(utf16=2)
n=13	rockingham
n=13	savanna
n=13	selz
n=13	stilwell
n=13	sundance	(utf16=3)
n=13	tacoma
n=13	thorndike
n=13	ventura	(utf16=8)
n=12	alston
n=12	ashton
n=12	canute
n=12	delmar
n=12	dumas
n=12	ehrenberg
n=12	enka
n=12	eton
n=12	glasgo
n=12	grundy
n=12	hilda
n=12	klamath
n=12	lafitte
n=12	leiter	(utf16=12)
n=12	marvell
n=12	olar	(utf16=11)
n=12	olmsted
n=12	paton
n=12	pepin
n=12	pooler	(utf16=3)
n=12	rhineland
n=12	roby
n=12	sasser	(utf16=11)
n=12	shorter	(utf16=1)
n=12	siluria
n=12	springdale
n=12	summit	(utf16=7)
n=12	trion
n=12	tunica
n=12	webber
n=12	wren
n=12	yellowstone
n=11	amanda
n=11	amazonia
n=11	arapahoe
n=11	austerlitz
n=11	bethune
n=11	bloomer
n=11	brewer
n=11	browns
n=11	brutus
n=11	buckingham
n=11	buna	(utf16=10)
n=11	carlsbad
n=11	cartwright
n=11	ceiba
n=11	chattahoochee
n=11	chesterfield
n=11	colbert
n=11	comer	(utf16=4)
n=11	daisy	(utf16=4)
n=11	dania	(utf16=5)
n=11	dreyfus
n=11	elbert
n=11	fellows	(utf16=7)
n=11	gardiner
n=11	goodyear
n=11	greeley
n=11	harrod
n=11	herrick
n=11	herrin
n=11	huntingdon
n=11	hutto
n=11	kinsey
n=11	landing	(utf16=6)
n=11	latimer
n=11	lebo	(utf16=1)
n=11	lehi	(utf16=4)
n=11	lennon
n=11	macdona	(utf16=3)
n=11	magdalena
n=11	martel
n=11	mathis
n=11	medina
n=11	menno
n=11	monongah
n=11	noyes
n=11	nuremberg
n=11	paxton
n=11	penobscot
n=11	provencal
n=11	pruden
n=11	ringling
n=11	ruskin
n=11	sayre
n=11	soudan	(utf16=3)
n=11	tecumseh
n=11	ticonderoga
n=11	trappe
n=11	vass
n=11	wilton
n=11	wiseman
n=11	zoar
n=10	arriba	(utf16=4)
n=10	ashmore	(utf16=10)
n=10	balaton
n=10	bally
n=10	bancroft
n=10	barree	(utf16=6)
n=10	bebe	(utf16=3)
n=10	bono
n=10	booker
n=10	boykin
n=10	braman
n=10	cathay
n=10	chloe
n=10	constable
n=10	cumming
n=10	curtiss
n=10	darlington
n=10	deerfield	(utf16=8)
n=10	donalds	(utf16=4)
n=10	earle
n=10	elwood
n=10	ewen
n=10	gadsden
n=10	girard
n=10	glady
n=10	higginson
n=10	hildebran
n=10	hollis
n=10	irons
n=10	jenner
n=10	joffre
n=10	kathryn
n=10	landa	(utf16=2)
n=10	lando
n=10	maitland
n=10	manilla	(utf16=4)
n=10	marmora
n=10	marquand
n=10	mauldin
n=10	moira
n=10	oberon
n=10	orson
n=10	ravenna
n=10	roanoke
n=10	roebling
n=10	rowan
n=10	rubicon
n=10	ruso	(utf16=8)
n=10	salida	(utf16=7)
n=10	skene	(utf16=10)
n=10	smiths
n=10	tilden
n=10	turpin
n=10	warfield
n=10	wayland
n=10	wentworth
n=10	worthing
n=9	abilene
n=9	alleman	(utf16=9)
n=9	altro	(utf16=9)
n=9	anson	(utf16=1)
n=9	archie	(utf16=2)
n=9	arco	(utf16=4)
n=9	bastian
n=9	canadensis
n=9	carver
n=9	cayuse
n=9	darby
n=9	dennison	(utf16=8)
n=9	dorr	(utf16=2)
n=9	dustin
n=9	edgard
n=9	elmore
n=9	engelhard
n=9	fowler
n=9	galva
n=9	gans
n=9	gillett
n=9	grampian
n=9	greenville
n=9	guffey
n=9	heimdal
n=9	ione
n=9	jameson
n=9	langtry
n=9	lehr
n=9	lepanto
n=9	lille
n=9	mahomet
n=9	marcellus
n=9	mcguffey
n=9	millington
n=9	monaca
n=9	muskogee	(utf16=2)
n=9	omer
n=9	pinckney
n=9	ricketts
n=9	roscoe
n=9	savona
n=9	scotts
n=9	sontag	(utf16=1)
n=9	valdez
n=9	winfred
n=9	zamora
n=9	zapata
n=8	acra
n=8	albers
n=8	albion
n=8	appomattox
n=8	ayrshire
n=8	barker
n=8	benoit
n=8	blain
n=8	boley
n=8	boling
n=8	bouton	(utf16=8)
n=8	brothers	(utf16=7)
n=8	camden
n=8	charlton
n=8	cincinnatus
n=8	drums
n=8	ebro
n=8	farragut
n=8	folsom
n=8	garnett
n=8	glendo
n=8	grenville
n=8	guage	(utf16=8)
n=8	gulliver
n=8	hasse
n=8	herculaneum
n=8	hico	(utf16=1)
n=8	holley
n=8	huguenot
n=8	husser
n=8	jeannette
n=8	jena	(utf16=2)
n=8	kalama
n=8	kerens
n=8	kila	(utf16=1)
n=8	klondike
n=8	kohler
n=8	koppel	(utf16=5)
n=8	krum
n=8	langston
n=8	loris
n=8	lucan
n=8	manson
n=8	marissa
n=8	metz
n=8	milford
n=8	molina
n=8	muenster
n=8	odell
n=8	oglala
n=8	ophelia
n=8	oregonia
n=8	paola
n=8	parnell
n=8	pawnee
n=8	ponca
n=8	ramona
n=8	ramsay
n=8	robson
n=8	rolfe
n=8	rolla
n=8	roseau
n=8	roswell
n=8	royston
n=8	rugby
n=8	ryde
n=8	salado
n=8	salome
n=8	samantha
n=8	sealy
n=8	sennett
n=8	serena
n=8	shelly
n=8	shreve
n=8	soddy
n=8	speer
n=8	staples
n=8	sultana	(utf16=5)
n=8	swansea
n=8	teasdale
n=8	thacker
n=8	trevor
n=8	underwood
n=8	uriah
n=8	verden	(utf16=8)
n=8	vian	(utf16=8)
n=8	wanda
n=8	waterford
n=8	weimar
n=8	wimbledon
n=8	wollaston
n=8	woodhull
n=8	xenia
n=7	alamogordo
n=7	amalia
n=7	ashford
n=7	baroda
n=7	barron
n=7	beaconsfield
n=7	bethany
n=7	beulah
n=7	biddle
n=7	blanca
n=7	bolingbroke
n=7	cahokia
n=7	callao
n=7	caretta
n=7	castile
n=7	chelmsford
n=7	chelsea
n=7	clarissa
n=7	corfu
n=7	cowley
n=7	cullen
n=7	danese	(utf16=6)
n=7	denison
n=7	doty	(utf16=5)
n=7	dundee
n=7	earp	(utf16=1)
n=7	erhard
n=7	fingal
n=7	georgiana
n=7	gilmer
n=7	glastonbury
n=7	goldbar	(utf16=7)
n=7	gotebo
n=7	groves
n=7	heber	(utf16=3)
n=7	hialeah
n=7	howells
n=7	husk	(utf16=3)
n=7	ipswich
n=7	jodie
n=7	kilauea
n=7	kossuth
n=7	kula	(utf16=3)
n=7	lamont
n=7	linton
n=7	llewellyn
n=7	lula	(utf16=2)
n=7	macy
n=7	maher
n=7	malibu
n=7	marston
n=7	maximo
n=7	means	(utf16=2)
n=7	merrick
n=7	mertens
n=7	mize	(utf16=2)
n=7	moroni
n=7	moseley
n=7	mullin
n=7	mullins
n=7	murchison
n=7	mylo
n=7	nankin
n=7	nathalie
n=7	navarre
n=7	oglethorpe
n=7	okean	(utf16=7)
n=7	ollie
n=7	osceola
n=7	osco
n=7	peyton
n=7	plessis
n=7	pocahontas
n=7	providence
n=7	rainier	(utf16=1)
n=7	rochdale
n=7	ronda
n=7	rosie
n=7	sitka
n=7	socorro
n=7	tamworth
n=7	tappan
n=7	tippecanoe
n=7	tolu
n=7	truckee
n=7	tully
n=7	tyrone
n=7	vallejo
n=7	velma
n=7	verner
n=7	whitefield
n=7	wilberforce
n=7	willcox
n=7	woodstock
n=7	wynne
n=7	zachow	(utf16=7)
n=6	ailey
n=6	aneth
n=6	athol
n=6	ault
n=6	ayer
n=6	backus
n=6	badger	(utf16=1)
n=6	biloxi
n=6	blevins
n=6	bloomsbury
n=6	blount
n=6	bonner
n=6	boring
n=6	brenton	(utf16=2)
n=6	brinkley
n=6	cassel
n=6	clermont
n=6	connelly
n=6	corinne
n=6	creighton
n=6	declo
n=6	derry
n=6	doole
n=6	doon
n=6	elroy
n=6	ennis	(utf16=2)
n=6	ewan
n=6	forks	(utf16=2)
n=6	forman	(utf16=6)
n=6	frisco
n=6	geronimo
n=6	glynn
n=6	grafton
n=6	gretna
n=6	guys
n=6	halls
n=6	harco
n=6	heth	(utf16=3)
n=6	hobson
n=6	imogene
n=6	inez	(utf16=1)
n=6	iola
n=6	jachin
n=6	jamison
n=6	jelm	(utf16=4)
n=6	juliette
n=6	kenna
n=6	kulm	(utf16=4)
n=6	laton
n=6	lawton
n=6	leet	(utf16=1)
n=6	lemmon
n=6	letha
n=6	lewes
n=6	lorain
n=6	mahan
n=6	mcfarlan
n=6	michie
n=6	moffit
n=6	nelse
n=6	overly
n=6	pitcher
n=6	quinton
n=6	refugio
n=6	roselle
n=6	roslyn
n=6	roxie
n=6	rufe	(utf16=5)
n=6	salinas
n=6	samaria
n=6	sardis	(utf16=2)
n=6	scribner
n=6	sigurd
n=6	sisters
n=6	solano
n=6	solomons	(utf16=4)
n=6	spotsylvania
n=6	starbuck
n=6	tallula
n=6	tallulah
n=6	tanner
n=6	terrell
n=6	tillman
n=6	udall
n=6	vader
n=6	valera
n=6	wagram
n=6	wesson
n=6	wheeling
n=6	whitfield
n=6	wilmer
n=6	witten
n=6	wolverine
n=6	zachariah
n=5	alix
n=5	anco
n=5	argos
n=5	bains
n=5	bannock
n=5	barberton
n=5	blacksburg
n=5	bonita
n=5	bowdle
n=5	bowers
n=5	brentwood
n=5	bridgman
n=5	brownsville
n=5	brule
n=5	buckner
n=5	cadiz
n=5	canandaigua
n=5	chauvin
n=5	chickamauga
n=5	cimarron
n=5	clarks
n=5	cochise
n=5	combs
n=5	concepcion
n=5	cooks	(utf16=2)
n=5	cooperstown
n=5	coosa
n=5	corning
n=5	cotopaxi
n=5	crewe
n=5	crouse
n=5	cuthbert
n=5	dubuque
n=5	elma
n=5	emelle	(utf16=5)
n=5	eminence
n=5	etta
n=5	farrar
n=5	flasher
n=5	gamaliel
n=5	gilman
n=5	golconda
n=5	gosport
n=5	handley
n=5	havre
n=5	hawks
n=5	haworth
n=5	hermitage
n=5	hilliard
n=5	hillsboro
n=5	hopewell
n=5	housatonic
n=5	howland	(utf16=5)
n=5	inglewood
n=5	inglis	(utf16=1)
n=5	ironsides
n=5	jarrell
n=5	kanawha
n=5	katy
n=5	kearney
n=5	kenilworth
n=5	kenner
n=5	keokuk
n=5	killarney
n=5	kingman	(utf16=5)
n=5	largo
n=5	laurens
n=5	limon
n=5	lolita
n=5	lucile
n=5	manassa
n=5	manter	(utf16=5)
n=5	marcella
n=5	maribel
n=5	maricopa
n=5	martindale
n=5	maury
n=5	meadows
n=5	menan
n=5	mima
n=5	mindoro
n=5	mosca	(utf16=3)
n=5	murdock
n=5	muskego
n=5	nanticoke
n=5	narrows
n=5	neosho
n=5	niobrara
n=5	olla	(utf16=3)
n=5	palisades
n=5	paloma
n=5	parkman
n=5	parma	(utf16=2)
n=5	peoples
n=5	potsdam
n=5	quapaw
n=5	quinlan
n=5	radcliff
n=5	ravena
n=5	richland
n=5	roark
n=5	rockville
n=5	rosine
n=5	rozel
n=5	sligo
n=5	stanfield
n=5	stroh
n=5	sunderland
n=5	talbert
n=5	tallapoosa
n=5	thurston
n=5	truro
n=5	villard
n=5	walhalla
n=5	wausa
n=5	wausau
n=5	waverley
n=5	welty
n=5	wheatley
n=5	wilmette
n=4	agana
n=4	aguila
n=4	aguilar
n=4	albin
n=4	alleghany
n=4	alvarado
n=4	alvo	(utf16=1)
n=4	amado
