# UTF-8 Byte Order Marker; see http://unicode.org/faq/utf_bom.html
# BANNER FILE NOT PROVIDED (-b option)# BULK_EXTRACTOR-Version: 1.3.1 ($Rev: 10844 $)
# Feature-Recorder: lightgrep
# Filename: /home/jon/data/ev/digitalcorpora/corp/nps/drives/corp/nps/drives/nps-2009-m57-patents-redacted/charlie-2009-11-12.E01
# Histogram-File-Version: 1.1
n=68808	loa	(utf16=8532)
n=65	mott	(utf16=41)
n=64	charlo	(utf16=7)
n=64	desha	(utf16=60)
n=64	equality
n=64	reno	(utf16=18)
n=63	bena	(utf16=36)
n=63	viper	(utf16=44)
n=62	elmo	(utf16=16)
n=62	justin
n=61	sabin
n=60	ensenada	(utf16=24)
n=59	ranger
n=58	duran	(utf16=9)
n=58	independence	(utf16=32)
n=57	jeffers
n=57	parker	(utf16=7)
n=57	stephan
n=57	vesta	(utf16=44)
n=56	strang	(utf16=1)
n=55	nitro	(utf16=14)
n=55	warne	(utf16=4)
n=52	hauppauge	(utf16=21)
n=52	lynd
n=52	manito
n=52	pavo	(utf16=5)
n=52	vick
n=51	doss	(utf16=12)
n=51	trent
n=50	brill	(utf16=23)
n=50	chico	(utf16=15)
n=50	clancy	(utf16=40)
n=50	gravity	(utf16=19)
n=50	shoshone
n=49	gwynn
n=49	turner
n=49	warner	(utf16=2)
n=48	carter	(utf16=8)
n=48	devol	(utf16=16)
n=48	dolph	(utf16=45)
n=48	teton
n=47	elsa	(utf16=11)
n=47	hammon
n=47	norge	(utf16=38)
n=47	owen	(utf16=4)
n=47	saxe
n=46	jansen
n=46	milano
n=46	wann	(utf16=36)
n=46	zuni	(utf16=10)
n=45	andreas
n=45	burns	(utf16=3)
n=45	caddo	(utf16=8)
n=45	homer
n=45	mina	(utf16=19)
n=45	nuevo	(utf16=36)
n=45	salford
n=44	barto	(utf16=8)
n=44	durant	(utf16=9)
n=44	gordo	(utf16=8)
n=44	ingle	(utf16=22)
n=44	scipio
n=44	vada
n=43	carlos
n=43	eucha
n=43	malin	(utf16=10)
n=43	pekin	(utf16=7)
n=42	baker	(utf16=11)
n=42	carmel
n=42	malaga	(utf16=16)
n=42	mena	(utf16=28)
n=42	milton	(utf16=7)
n=41	epes	(utf16=41)
n=41	steff
n=40	erin	(utf16=3)
n=40	grantsdale	(utf16=14)
n=40	yorkshire
n=39	asco	(utf16=2)
n=39	browning	(utf16=8)
n=39	cambria
n=39	coden	(utf16=23)
n=39	marcell
n=39	marne
n=38	achille
n=38	alviso	(utf16=14)
n=38	fagus
n=38	seale	(utf16=9)
n=38	whitt
n=37	bache
n=37	dalmatia	(utf16=7)
n=37	gile	(utf16=5)
n=37	shoshoni
n=37	vina	(utf16=2)
n=36	arapaho	(utf16=8)
n=36	blackfoot	(utf16=19)
n=36	granada	(utf16=13)
n=36	solen
n=36	zeeland	(utf16=29)
n=35	alco	(utf16=8)
n=35	leakey
n=35	olds	(utf16=3)
n=34	bagdad	(utf16=28)
n=34	buhl	(utf16=31)
n=34	odon
n=33	manti	(utf16=7)
n=33	nikep	(utf16=7)
n=33	thatcher
n=33	venetia
n=33	winner	(utf16=8)
n=32	corsica	(utf16=4)
n=32	diablo	(utf16=32)
n=32	farmer	(utf16=8)
n=32	springs	(utf16=1)
n=32	torrey
n=32	waka	(utf16=10)
n=31	aragon	(utf16=12)
n=31	barco	(utf16=5)
n=31	geff
n=31	prue	(utf16=13)
n=31	silva	(utf16=3)
n=31	tolar	(utf16=30)
n=31	totz
n=31	vesuvius	(utf16=14)
n=31	yuma
n=30	annona
n=30	edinburg	(utf16=16)
n=30	fremont
n=30	harman	(utf16=7)
n=30	ledger	(utf16=10)
n=30	runa	(utf16=17)
n=30	tokio	(utf16=20)
n=30	welches	(utf16=29)
n=29	carmi
n=29	castanea
n=29	elbe
n=29	guadalupe	(utf16=13)
n=29	kuna	(utf16=27)
n=29	plains
n=29	rupert
n=29	sardinia	(utf16=4)
n=29	tripp	(utf16=9)
n=29	tyro
n=29	wilder
n=29	wister
n=28	hume	(utf16=1)
n=28	lolo	(utf16=6)
n=28	lucien
n=28	maud
n=28	moneta	(utf16=14)
n=28	nada	(utf16=22)
n=28	provo	(utf16=7)
n=28	sinton	(utf16=24)
n=28	winston
n=27	babb
n=27	bronte
n=27	hode	(utf16=2)
n=27	kiel	(utf16=14)
n=27	loco	(utf16=14)
n=27	lodi	(utf16=23)
n=27	mojave
n=27	nabb
n=27	osage	(utf16=8)
n=27	singer	(utf16=6)
n=26	adena	(utf16=2)
n=26	brooks
n=26	cato
n=26	chilo
n=26	edmond	(utf16=2)
n=26	flippin	(utf16=17)
n=26	leary
n=26	levan
n=26	lott
n=26	pitts
n=26	stamps	(utf16=8)
n=25	castell	(utf16=19)
n=25	everest	(utf16=2)
n=25	levant
n=25	lyndon
n=25	lytton
n=25	meade
n=25	onemo	(utf16=22)
n=25	rives	(utf16=25)
n=25	tiro	(utf16=4)
n=25	zephyr	(utf16=3)
n=24	bennet
n=24	deale	(utf16=18)
n=24	dover	(utf16=7)
n=24	fairbank
n=24	fairbanks
n=24	nimitz
n=24	pima
n=24	vici
n=23	agar	(utf16=3)
n=23	gautier
n=23	hamel
n=23	hooker
n=23	leicester
n=23	maize	(utf16=16)
n=23	nyssa
n=23	omar	(utf16=2)
n=23	orla
n=23	orlean
n=23	rochelle
n=23	sylva
n=23	yosemite	(utf16=8)
n=22	amery	(utf16=18)
n=22	antigo	(utf16=3)
n=22	burnet
n=22	connell
n=22	cortez
n=22	dupo	(utf16=4)
n=22	herod
n=22	kona	(utf16=16)
n=22	lorenzo
n=22	mansfield
n=22	melba
n=22	napier
n=22	potter
n=22	rayle
n=22	reva	(utf16=4)
n=22	reyno
n=22	rudd	(utf16=5)
n=22	sula	(utf16=1)
n=22	tesla	(utf16=8)
n=22	weaver	(utf16=16)
n=21	avalon	(utf16=9)
n=21	bayard
n=21	berger
n=21	bude	(utf16=14)
n=21	diaz
n=21	hettinger
n=21	loma
n=21	lorentz
n=21	marlow
n=21	merton
n=21	nunn
n=21	orland
n=21	plano	(utf16=7)
n=21	tatum
n=21	volga
n=20	adin
n=20	inkom	(utf16=18)
n=20	irmo	(utf16=9)
n=20	minoa
n=20	nemo	(utf16=10)
n=20	paradis	(utf16=1)
n=20	sidon
n=20	tangier
n=20	ucon
n=20	wickliffe
n=20	wilber
n=19	ault
n=19	bogart
n=19	bourg
n=19	bula	(utf16=5)
n=19	cima	(utf16=4)
n=19	erick
n=19	firth
n=19	fries	(utf16=6)
n=19	hendrix
n=19	lillie
n=19	lyme
n=19	pella
n=19	pittsburg
n=19	reliance	(utf16=2)
n=19	talbot
n=19	tivoli	(utf16=16)
n=19	tobias
n=19	wheeler
n=18	aleppo
n=18	atco
n=18	belk	(utf16=5)
n=18	eland
n=18	etna	(utf16=1)
n=18	fielding
n=18	hana
n=18	libby	(utf16=4)
n=18	lula	(utf16=4)
n=18	merrimac
n=18	milo
n=18	neville
n=18	paisley
n=18	petros
n=18	soper
n=18	sparks	(utf16=8)
n=18	thorp
n=18	valencia	(utf16=6)
n=18	veblen
n=18	wendel
n=17	aladdin	(utf16=1)
n=17	ararat
n=17	ariel
n=17	barnum
n=17	birds	(utf16=7)
n=17	cordova	(utf16=2)
n=17	crichton
n=17	derma
n=17	ellington
n=17	fillmore
n=17	gorin
n=17	hammett
n=17	haywood
n=17	ionia
n=17	kosciusko
n=17	laguna	(utf16=4)
n=17	nebo	(utf16=3)
n=17	paige
n=17	philadelphia
n=17	poth
n=17	progreso	(utf16=10)
n=17	quincy
n=17	redford
n=17	roca
n=17	rover	(utf16=2)
n=17	stowe
n=17	vernon
n=16	amite
n=16	balko	(utf16=16)
n=16	bunn	(utf16=9)
n=16	chardon
n=16	emmet
n=16	falkner
n=16	fonda
n=16	gallina
n=16	highlands
n=16	joplin
n=16	lakota
n=16	livonia
n=16	mcrae	(utf16=15)
n=16	merced	(utf16=2)
n=16	monon
n=16	orford
n=16	otho
n=16	risco	(utf16=16)
n=16	sparr	(utf16=1)
n=16	trimble	(utf16=3)
n=16	winnebago
n=16	zell	(utf16=1)
n=15	andalusia
n=15	bannister
n=15	beecher
n=15	bowler	(utf16=14)
n=15	camas
n=15	cleves	(utf16=14)
n=15	croton
n=15	daniels	(utf16=1)
n=15	dardanelle
n=15	declo
n=15	dresden
n=15	elbert
n=15	gunter
n=15	hilda
n=15	iona	(utf16=7)
n=15	iraan	(utf16=15)
n=15	lehi	(utf16=7)
n=15	likely	(utf16=6)
n=15	lovell
n=15	mays	(utf16=2)
n=15	oceano	(utf16=9)
n=15	olean
n=15	orma	(utf16=3)
n=15	pooler	(utf16=6)
n=15	racine
n=15	romney
n=15	sayre
n=15	susquehanna
n=15	trafalgar
n=15	varna	(utf16=7)
n=14	albee
n=14	aline	(utf16=3)
n=14	apalachicola
n=14	balta	(utf16=14)
n=14	beaufort
n=14	bunker
n=14	clovis
n=14	comstock
n=14	darrow
n=14	defoe
n=14	delmar
n=14	dingus
n=14	dorr	(utf16=3)
n=14	dowell
n=14	frazer
n=14	gipsy
n=14	glover	(utf16=8)
n=14	harper
n=14	hernando
n=14	iliamna
n=14	lexa	(utf16=2)
n=14	lively
n=14	metter
n=14	moselle
n=14	nunez
n=14	okeechobee
n=14	powhatan
n=14	reseda
n=14	rhineland
n=14	roby
n=14	savanna
n=14	sellers
n=14	selz
n=14	smilax
n=14	tacoma
n=14	thorndike
n=14	vass
n=14	ventura	(utf16=8)
n=14	wren
n=13	alston
n=13	arapahoe
n=13	ashton
n=13	canute
n=13	chattahoochee
n=13	dania	(utf16=5)
n=13	dreyfus
n=13	dumas
n=13	erving
n=13	eure
n=13	gardiner
n=13	glasgo
n=13	grundy
n=13	herrin
n=13	lafitte
n=13	martel
n=13	olmsted
n=13	olpe
n=13	paton
n=13	pepin
n=13	platina	(utf16=13)
n=13	prole
n=13	pruden
n=13	rockingham
n=13	sasser	(utf16=12)
n=13	siluria
n=13	stilwell
n=13	sundance	(utf16=3)
n=13	webber
n=13	wiseman	(utf16=8)
n=13	yellowstone
n=12	alda
n=12	amanda
n=12	amazonia
n=12	bethune
n=12	bloomer
n=12	brewer
n=12	browns
n=12	brutus
n=12	buckingham
n=12	carlsbad
n=12	cartwright
n=12	chesterfield
n=12	chloe
n=12	colbert
n=12	earle
n=12	ehrenberg
n=12	eton
n=12	ewen	(utf16=1)
n=12	goodyear
n=12	greeley
n=12	herrick
n=12	hutto
n=12	kathryn
n=12	kinsey
n=12	klamath
n=12	lebo	(utf16=2)
n=12	leiter	(utf16=12)
n=12	lennon
n=12	macdona	(utf16=3)
n=12	magdalena
n=12	marvell
n=12	mathis
n=12	medina
n=12	menno
n=12	monongah
n=12	noyes
n=12	nuremberg
n=12	olar	(utf16=11)
n=12	provencal
n=12	ringling
n=12	ruskin
n=12	shorter	(utf16=1)
n=12	smiths
n=12	tecumseh
n=12	ticonderoga
n=12	trion
n=12	tunica
n=12	wilton
n=11	austerlitz
n=11	bally
n=11	bancroft
n=11	bebe	(utf16=3)
n=11	booker
n=11	buna	(utf16=10)
n=11	cathay
n=11	ceiba
n=11	constable
n=11	cumming
n=11	darlington
n=11	donalds	(utf16=4)
n=11	edgard
n=11	elwood
n=11	enka
n=11	fellows	(utf16=7)
n=11	gadsden
n=11	galva
n=11	glady
n=11	harrod
n=11	hildebran
n=11	hollis
n=11	huntingdon
n=11	jenner
n=11	landing	(utf16=6)
n=11	lando
n=11	latimer
n=11	moira
n=11	odell
n=11	orson
n=11	paxton
n=11	penobscot
n=11	roanoke
n=11	rowan
n=11	rubicon
n=11	soudan	(utf16=3)
n=11	summit	(utf16=7)
n=11	turpin
n=11	warfield
n=11	wayland
n=11	wentworth
n=11	worthing
n=11	zoar
n=10	abilene
n=10	anson	(utf16=1)
n=10	archie	(utf16=2)
n=10	arriba	(utf16=4)
n=10	balaton
n=10	barree	(utf16=6)
n=10	bastian
n=10	benoit
n=10	boykin
n=10	braman
n=10	carver
n=10	charlton
n=10	comer	(utf16=4)
n=10	curtiss
n=10	daisy	(utf16=2)
n=10	darby
n=10	deerfield	(utf16=8)
n=10	dennison	(utf16=8)
n=10	dustin
n=10	ebro
n=10	elmore
n=10	fowler
n=10	garnett
n=10	gillett
n=10	girard
n=10	grampian
n=10	greenville
n=10	guffey
n=10	haddix
n=10	higginson
n=10	ione
n=10	irons
n=10	jameson
n=10	joffre
n=10	landa	(utf16=2)
n=10	lehr
n=10	lille
n=10	mahomet
n=10	maitland
n=10	manilla	(utf16=4)
n=10	marcellus
n=10	marmora
n=10	marquand
n=10	mauldin
n=10	mcguffey
n=10	omer
n=10	ravenna
n=10	roebling
n=10	roscoe
n=10	salida	(utf16=7)
n=10	savona
n=10	scotts
n=10	skene	(utf16=10)
n=10	sontag	(utf16=1)
n=10	tilden
n=10	valdez
n=10	winfred
n=10	zamora
n=10	zapata
n=9	albion
n=9	alleman	(utf16=9)
n=9	altro	(utf16=9)
n=9	appomattox
n=9	ashford
n=9	banco	(utf16=1)
n=9	barker
n=9	blain
n=9	boley
n=9	bono
n=9	camden
n=9	canadensis
n=9	cayuse
n=9	engelhard
n=9	ennis	(utf16=4)
n=9	farragut
n=9	folsom
n=9	gans
n=9	glendo
n=9	grenville
n=9	gulliver
n=9	heimdal
n=9	herculaneum
n=9	holley
n=9	huguenot
n=9	husser
n=9	jeannette
n=9	jena	(utf16=2)
n=9	kalama
n=9	kerens
n=9	kila	(utf16=1)
n=9	klondike
n=9	kohler
n=9	langston
n=9	langtry
n=9	lepanto
n=9	manson
n=9	marissa
n=9	metz
n=9	milford
n=9	millington
n=9	molina
n=9	monaca
n=9	muenster
n=9	muskogee	(utf16=2)
n=9	ophelia
n=9	oregonia
n=9	paola
n=9	parnell
n=9	pawnee
n=9	pinckney
n=9	ramona
n=9	ramsay
n=9	ricketts
n=9	robson
n=9	rolfe
n=9	rolla
n=9	roseau
n=9	roswell
n=9	rugby
n=9	ruso	(utf16=8)
n=9	ryde
n=9	salado
n=9	salome
n=9	samantha
n=9	sennett
n=9	serena
n=9	shelly
n=9	shreve
n=9	soddy
n=9	swansea
n=9	teasdale
n=9	thacker
n=9	trevor
n=9	underwood
n=9	uriah
n=9	wanda
n=9	wimbledon
n=9	woodhull
n=9	xenia
n=8	acra
n=8	alamogordo
n=8	albers
n=8	amalia
n=8	arco	(utf16=4)
n=8	ashmore	(utf16=8)
n=8	ayrshire
n=8	baroda
n=8	barron
n=8	bethany
n=8	beulah
n=8	biddle
n=8	blanca
n=8	boling
n=8	bouton	(utf16=8)
n=8	brothers	(utf16=7)
n=8	cahokia
n=8	callao
n=8	castile
n=8	chelsea
n=8	cincinnatus
n=8	clarissa
n=8	connelly
n=8	corfu
n=8	cowley
n=8	cullen
n=8	drums
n=8	dundee
n=8	earp	(utf16=1)
n=8	erhard
n=8	georgiana
n=8	glastonbury
n=8	glynn
n=8	goldbar	(utf16=8)
n=8	guage	(utf16=8)
n=8	hasse
n=8	heber	(utf16=3)
n=8	hialeah
n=8	iola
n=8	ipswich
n=8	jodie
n=8	kenna
n=8	kilauea
n=8	koppel	(utf16=5)
n=8	kossuth
n=8	krum
n=8	lamont
n=8	linton
n=8	llewellyn
n=8	lorain
n=8	loris
n=8	lucan
n=8	malibu
n=8	maximo
n=8	merrick
n=8	moroni
n=8	moseley
n=8	mullin
n=8	mullins
n=8	murchison
n=8	mylo
n=8	nankin
n=8	nathalie
n=8	oberon
n=8	oglala
n=8	oglethorpe
n=8	okean	(utf16=8)
n=8	ollie
n=8	osceola
n=8	peyton
n=8	pocahontas
n=8	ponca
n=8	providence
n=8	rainier	(utf16=1)
n=8	ronda
n=8	rosie
n=8	royston
n=8	rozel
n=8	sealy
n=8	socorro
n=8	speer
n=8	springdale
n=8	tippecanoe
n=8	tolu	(utf16=1)
n=8	trappe
n=8	truckee
n=8	tully
n=8	tyrone
n=8	vallejo
n=8	velma
n=8	verden	(utf16=8)
n=8	vian	(utf16=8)
n=8	waterford
n=8	weimar
n=8	whitefield
n=8	wilberforce
n=8	willcox
n=8	wollaston
n=8	woodstock
n=8	wynne
n=7	ailey
n=7	ayer
n=7	backus
n=7	beaconsfield
n=7	blevins
n=7	bolingbroke
n=7	bonner
n=7	brenton	(utf16=2)
n=7	brinkley
n=7	busby
n=7	caretta
n=7	chelmsford
n=7	combs
n=7	corinne
n=7	creighton
n=7	danese	(utf16=6)
n=7	davin
n=7	denison
n=7	derry
n=7	doole
n=7	doon
n=7	doty	(utf16=5)
n=7	elroy
n=7	fingal
n=7	frisco
n=7	geronimo
n=7	gilmer
n=7	gotebo
n=7	grafton
n=7	gretna
n=7	groves
n=7	halls
n=7	harco
n=7	hico
n=7	howells
n=7	husk	(utf16=3)
n=7	imogene
n=7	jamison
n=7	juliette
n=7	katy
n=7	kersey
n=7	kula	(utf16=3)
n=7	laton
n=7	lawton
n=7	letha
n=7	lewes
n=7	maher
n=7	maribel
n=7	marston
n=7	mcfarlan
n=7	means	(utf16=2)
n=7	mertens
n=7	michie
n=7	navarre
n=7	nelse
n=7	paloma
n=7	plessis
n=7	quinton
n=7	rawl
n=7	refugio
n=7	rochdale
n=7	roselle
n=7	roslyn
n=7	roxie
n=7	rufe	(utf16=5)
n=7	samaria
n=7	scribner
n=7	sigurd
n=7	sitka
n=7	staples
n=7	sultana	(utf16=4)
n=7	tallula
n=7	tallulah
n=7	tamworth
n=7	tanner
n=7	tappan
n=7	terrell
n=7	tillman
n=7	udall
n=7	vader
n=7	valera
n=7	verner
n=7	wesson
n=7	wheeling
n=7	whitfield
n=7	wilmer
n=7	zachariah
n=7	zachow	(utf16=7)
n=6	alix
n=6	aneth
n=6	athol
n=6	badger	(utf16=1)
n=6	biloxi
n=6	bloomsbury
n=6	bonita
n=6	boring
n=6	bowers
n=6	bridgman
n=6	brownsville
n=6	buckner
n=6	cadiz
n=6	cassel
n=6	clermont
n=6	cochise
n=6	cotopaxi
n=6	damar	(utf16=1)
n=6	dubuque
n=6	elma
n=6	eminence
n=6	emlyn
n=6	etta
n=6	ewan
n=6	flasher
n=6	forman	(utf16=6)
n=6	gamaliel
n=6	golconda
n=6	heth	(utf16=3)
n=6	hilliard
n=6	hillsboro
n=6	hobson
n=6	hopewell
n=6	inez
n=6	inglewood
n=6	inglis	(utf16=1)
n=6	kearney
n=6	kenilworth
n=6	keokuk
n=6	leet	(utf16=1)
n=6	lemmon
n=6	lolita
n=6	lucile
n=6	macy
n=6	mahan
n=6	marcella
n=6	maury
n=6	meadows
n=6	menan
n=6	mindoro
n=6	moffit
n=6	murdock
n=6	muskego
n=6	osco
n=6	palisades
n=6	parkman
n=6	pitcher
n=6	potsdam
n=6	quinlan
n=6	radcliff
n=6	richland
n=6	rion
n=6	roann
n=6	roark
n=6	rockville
n=6	salinas
n=6	sardis	(utf16=2)
n=6	sisters
n=6	solano
n=6	solomons	(utf16=4)
n=6	spotsylvania
n=6	stanfield
n=6	starbuck
n=6	talbert
n=6	theodosia
n=6	thurston
n=6	wagram
n=6	wausa
n=6	wausau
n=6	waverley
n=6	wilmette
n=6	witten
n=6	wolverine
n=6	yards
n=5	aguila
n=5	aguilar
n=5	albin
n=5	alvarado
n=5	amado
n=5	anco
n=5	argos
n=5	arlee
n=5	artemus
n=5	aurelia
n=5	bains
n=5	bannock
n=5	barberton
n=5	bayamon
n=5	beasley
n=5	beaverton
n=5	belleville
n=5	bellwood
n=5	birdseye
n=5	blacksburg
n=5	bowdle
n=5	braddock
n=5	brentwood
n=5	bridger
n=5	brule
n=5	bucks
n=5	burlingame
n=5	burna
n=5	canandaigua
n=5	capitan
n=5	cassatt
n=5	cavour
n=5	centralia
n=5	channing
n=5	chauvin
n=5	chickamauga
n=5	chilton
n=5	cimarron
n=5	clarks
n=5	colfax
n=5	concepcion
n=5	concordia
n=5	constantia
n=5	cooks	(utf16=2)
n=5	cooperstown
n=5	coosa
n=5	corning
n=5	crewe
n=5	crouse
n=5	cupertino
n=5	cuthbert
n=5	danville
n=5	dermott
n=5	desdemona
n=5	dorsey
n=5	edgewood
n=5	ellery
n=5	elnora
n=5	emelle	(utf16=5)
n=5	ericson
n=5	escondido
n=5	essie
n=5	fairmont
n=5	fairview
n=5	farrar
n=5	fontana
n=5	forks	(utf16=1)
n=5	frontenac
n=5	gaither
n=5	galvin
n=5	gilman
n=5	gosport
n=5	grantham
n=5	guys
n=5	handley
n=5	harrisonburg
n=5	hartline
n=5	harts
n=5	haskell
n=5	havre
n=5	hawks
n=5	haworth
n=5	hazlet
n=5	hebert
n=5	hermitage
